cilindro,medidacorte,cortepassanteace,cortepassante,medidardacedb,medidaCRDacedb,infoRebaixoComp,infoRebaixoDiam,medidaRD,medidaCRD,medidaRT,medidartaced,medidaRTpassante,medidaRD_MI,medidaCRDMI,medidaRT_MI,imghasteaced,imagemdahaste,medidarebaixo,medidacomprimento,rebaixobocadechave,diamrebbocadechave,rebaixotraseira,rebaixooring,distanciaoring,diametrohaste,imgpassante,materiaprima,embolo,medidaRD_CCB,medidaRT_CCB,medidacortetubo,cortetuboccmbpassante,rosca,imagemdotubo,materiaprimatubo,diametroguia,materiaprimaguia,medidaguia,roscaguia,imagemguia,diametrotirante,materiaprimatirante,medidatirante,roscatirante,roscatiranteb,imagemtirante,rebaixoDianteiraCCMB,rebaixoTraseiraCCMB,furacao,imgAlimentacao,c,diametroc,a,diametroae,b,ctraseira,diametroctraseira,atraseira,diametroaetraseira,btraseira,roscaalimentacao,comprimentoalimentacao,diametrorebaixo,comprimentorebaixo,diamx,compx,diamz,distz,compz
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATE12SB,"35,5mm",,,,,,,"M5x0,8 X ",10mm,"M3x0,5 X 6mm",,,,,,,img/AceB.png,"0,5mm",3mm,"3,5mm","5,7mm", Ø5  X  6mm,,,Ø6,,HASTE-06,,,,15mm,,"M6x0,5 X 12mm",imgTubo/ace.png,1L2A0066Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATE16SB,"38,5mm",,,,,,,"M6x1,00 X ",12mm,"M4x0,7 X 8mm",,,,,,,img/AceB.png,"0,5mm","4,5mm",5mm,"7,7mm","Ø6  X  8,5mm",Ø5  X  2mm,"6,5mm",Ø8,,HASTE-08,,,,15mm,,"M6x0,5 X 12mm",imgTubo/ace.png,1L2A0067Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATE20SB,"44,5mm",,,,,,,"M8x1,25 X ",16mm,"M5x0,8 X 12mm",,,,,,,img/AceB.png,"0,5mm","4,5mm",5mm,"9,7mm",Ø8  X  8mm,"Ø7,5  X  2mm",6mm ,Ø10,,HASTE-10,,,,16mm,,"M8x0,75 X 16mm",imgTubo/ace.png,1L2A0068Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATE25SB,45mm,,,,,,,"M8x1,25 X ",16mm,"M5x0,8 X 10mm",,,,,,,img/AceB.png,"0,5mm","4,5mm",5mm,"9,7mm",Ø8  X  8mm,"Ø7,5  X  2mm",6mm ,Ø10,,HASTE-10,,,,17mm,,"M8x0,75 X 16mm",imgTubo/ace.png,1L2A0069Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATE32SBG,51mm,,,,,,,"M10x1,25 X ",19mm,M6x1 X 12mm,,,,,,,img/AceB.png,1mm,"4,5mm",5mm,"11,5mm",Ø10  X  9mm,Ø9 x 2mm,7mm,Ø12,,HASTE-12,,,,16mm,,M10x1 X 20mm,imgTubo/ace.png,1L2A0070Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATE40SBG,"48,5mm",,,,,,,"M10x1,25 X ",19mm,M6x1 X 12mm,,,,,,,img/AceB.png,1mm,5mm,"5,5mm","11,5mm","Ø9,8  X  7mm","Ø7,60 x 2mm","1,5mm",Ø12,,HASTE-12,,,,17mm,,M10x1 X 20mm,imgTubo/ace.png,1L2A0071Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATE50SBG,"50,5mm",,,,,,,"M12x1,25 X ",22mm,"M8x1,25 X 16mm",,,,,,,img/AceB.png,"1,5mm",7mm,8mm,"15,5mm","Ø11,8  X  5mm","Ø9,25 x 2mm","1,5mm",Ø16,,HASTE-16,,,,17mm,,M12x1 X 24mm,imgTubo/ace.png,1L2A0072Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATE63SBG,"52,5mm",,,,,,,"M12x1,25 X ",22mm,"M8x1,25 X 16mm",,,,,,,img/AceB.png,"1,5mm",7mm,8mm,"15,5mm","Ø11,8  X  5mm","Ø9,25 x 2mm","1,5mm",Ø16,,HASTE-16,,,,19mm,,M12x1 X 24mm,imgTubo/ace.png,1L2A0073Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATE80SBG,58mm,,,,,,,"M16x1,5 X ",28mm,"M10x1,5 X 20mm",,,,,,,img/AceB.png,"1,5mm",7mm,8mm,19mm, ,,,Ø20,,HASTE-20,,,,"22,5mm",,M6x1 X 16mm,imgTubo/ace80+.png,1L2A0074Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATE100SBG,63mm,,,,,,,"M16x1,5 X ",28mm,"M10x1,5 X 20mm",,,,,,,img/AceB.png,"1,5mm",7mm,8mm,19mm, ,,,Ø20,,HASTE-20,,,,"29,5mm",,M6x1 X 16mm,imgTubo/ace80+.png,1L2A0075Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATE125SBG,"87,5mm",,,,,,,"M20x1,5 X ",40mm,"M12x1,75 x 24mm",,,,,,,img/AceB.png,2mm,9mm,10mm,24mm,"Ø19,8  X  5mm",,,Ø25,,HASTE-25,,,,"41,5mm",,,imgTubo/ace80+.png,1L2A0076Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSAI32SG,133mm,,,,,8mm,"11,5mm","M10x1,25 X ",22mm,"M8x1,25 X 16mm",,,,,,,img/sai2026-1.png,1mm,7mm,8mm,"11,5mm",,,,Ø12,,HASTE-12,,,,39mm,,M6x1 X 22mm,imgTubo/sai.png,1L2A0088Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,5mm",3mm,"1,5mm"
BSAI40SG,"145,5mm",,,,,8mm,15mm,"M12x1,25 X ",24mm,"M10x1,5 X 20mm",,,,,,,img/sai2026-1.png,"1,5mm",7mm,8mm,15mm,,,,Ø16,,HASTE-16,,,,41mm,,M6x1 X 22mm,imgTubo/sai.png,1L2A0089Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,5mm",3mm,"1,5mm"
BSAI50SG,170mm,,,,,8mm,19mm,"M16x1,5 X ",32mm,"M12x1,75 X 24mm",,,,,,,img/sai2026-1.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,,HASTE-20,,,,44mm,,"M8x1,25 X 24mm",imgTubo/sai.png,1L2A0087Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,5mm",3mm,"1,5mm"
BSAI63SG,172mm,,,,,8mm,19mm,"M16x1,5 X ",32mm,"M12x1,75 X 24mm",,,,,,,img/sai2026-1.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,,HASTE-20,,,,55mm,,"M8x1,25 X 24mm",imgTubo/sai.png,1L2A0085Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,5mm",3mm,"1,5mm"
BSAI80SG,228mm,,,,,8mm,24mm,"M20x1,5 X ",40mm,"M14x2,00 X 28mm",,,,,,,img/sai2026-1.png,"1,5mm",7mm,8mm,24mm,,,,Ø25,,HASTE-25,,,,62mm,,"M10x1,5 X 26mm",imgTubo/sai.png,1L2A0090Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,5mm",3mm,"1,5mm"
BSAI100SG,237mm,,,,,8mm,24mm,"M20x1,5 X ",40mm,"M14x2,00 X 28mm",,,,,,,img/sai2026-1.png,"1,5mm",7mm,8mm,24mm,,,,Ø25,,HASTE-25,,,,64mm,,"M10x1,5 X 26mm",imgTubo/sai.png,1L2A0091Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,5mm",3mm,"1,5mm"
BSAI125SG,"293,5mm",,,,,13mm,31mm,M27x2 ,54mm,"M14x2,00 X 28mm",,,,,,,img/sai2026-1.png,2mm,12mm,13mm,31mm,,,,Ø32,,HASTE-32,,,,68mm,,"M12x1,75 X 30mm",imgTubo/sai.png,1L2A0098Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,5mm",3mm,"1,5mm"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCB12-F,21mm,,,,,,,"M3x0,5 X ",6mm F,"M4x0,7",,,,, ,,img/ccb-femea.png,"0,5mm",3mm,"3,5mm","5,7mm",,,,Ø6,,HASTE-06,,"M3x0,5 X 6mm (FÊMEA)","M4x0,7","20,5mm",,"M4x0,7 X 10mm",imgTubo/ccmb-ccb.png,CCMBTUBO-12,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,4mm,14mm,"1,2mm",15mm,"1,3mm",7mm,14mm,"1,2mm",15mm,"1,3mm","M5 X 0,8mm","3,5mm",6mm,"3,5mm",,,,,
CCB16-F,19mm,,,,,,,"M4x0,7 X ",8mm F,"M5x0,8 X 6mm",,,,, ,,img/ccmb-ccb16-f.png,"0,5mm",3mm,"3,5mm","7,7mm",,,,Ø8,,HASTE-08,"-1,5mm ATRÁS","M4x0,7 X 8mm (FÊMEA)","M5x0,8 X 5mm","22,5mm",,"M4x0,7 X 10mm",imgTubo/ccmb-ccb.png,CCMBTUBO-16,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"6,8mm",18mm,"1,2mm",19mm,"1,3mm","6,8mm",18mm,"1,2mm",19mm,"1,3mm","M5 X 0,8mm","3,5mm",6mm,"3,5mm","Ø5,5",11mm,,,
CCB20-F,21mm,,,,,,,"M5x0,8 X ",7mm F,"M6X1 X 7,5mm",,,,,,,img/ccb-femea.png,1mm,4mm,"4,5mm","9,7mm",,,,Ø10,,HASTE-10,-2mm FRENTE,"M5x0,8 X 7mm (FÊMEA)","M6X1 X 5,5mm","22,5mm",,M6x1 X 15mm,imgTubo/ccmb-ccb.png,CCMBTUBO-20,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"4,5mm",22mm,"1,2mm","23,5mm","1,3mm",7mm,22mm,"1,2mm","23,5mm","1,3mm","M5 X 0,8mm",5mm,9mm,7mm,,,,,
CCB25-F,23mm,,,,,,,M6x1 X ,12mm F,"M8x1,25 X 7mm",,,,,,,img/ccb-femea.png,1mm,4mm,"4,5mm","11,5mm",,,,Ø12,,HASTE-12,"-1,5mm FRENTE",M6x1 X 12mm (FÊMEA),"M8x1,25 X 5mm",24mm,,M6x1 X 15mm,imgTubo/ccmb-ccb.png,CCMBTUBO-25,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"4,5mm",26mm,"1,2mm",29mm,"1,3mm",7mm,26mm,"1,2mm",29mm,"1,3mm","M5 X 0,8mm","3,5mm",9mm,7mm,,,,,
CCB40-F,29mm,,,,,,,"M8x1,25 X ",13mm F,"M12x1,25 X 9mm",,,,,,,img/ccb-femea.png,1mm,"4,5mm","5,5mm","15,5mm",,,,Ø16,,HASTE-16,-1mm FRENTE  & -6mm  ATRÁS,"M8x1,25 X 13mm (FÊMEA)","M12x1,25 X 7mm",27mm,,M6x1 X 15mm,imgTubo/ccmb-ccb.png,CCMBTUBO-40,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,7mm,42mm,"1,7mm","44,5mm","2,8mm","7,5mm",42mm,"1,7mm","44,5mm","1,3mm",BSP 1/8,9mm,9mm,7mm,,,,,
CCB50-F,31mm,,,,,,,"M10x1,5 X ",15mm F,"M12x1,25 X 10mm",,,,,,,img/ccb-femea.png,"1,5mm","4,5mm","5,5mm",19mm,,,,Ø20,,HASTE-20,"5,5mm FRENTE","M10x1,5 X 15mm (FÊMEA)","M12x1,25 X 8mm",32mm,,"M8x1,25 X 20mm",imgTubo/ccmb-ccb.png,CCMBTUBO-50,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"7,6mm",52mm,"2,2mm",56mm,"3,3mm","9,5mm",52mm,"2,2mm",56mm,"2,8mm",BSP 1/4,11mm,11mm,8mm,,,,,
CCB63-F,41mm,,,,,,,"M10x1,5 X ",15mm F,"M16X1,5 X 10mm",,,,,,,img/ccb-femea.png,"1,5mm","4,5mm","5,5mm",19mm,,,,Ø20,,HASTE-20,-7mm ATRÁS,"M10x1,5 X 15mm (FÊMEA)","M16X1,5 X 8mm","36,5mm",,"M10x1,5 X 20mm",imgTubo/ccmb-ccb.png,CCMBTUBO-63,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"8,8mm",65mm,"2,7mm",68mm,"4,1mm","10,5mm",65mm,"2,7mm",68mm,"2,8mm",BSP 1/4,11mm,14mm,"10,5mm",,,,,
CCB80-F,42mm,,,,,,,M16x2 X ,21mm F,"M20x1,5 X 10mm",,,,,,,img/ccb-femea.png,"1,5mm",7mm,8mm,24mm,,,,Ø25,,HASTE-25,-8mm ATRÁS ,M16x2 X 21mm (FÊMEA),"M20x1,5 X8mm","42,5mm",,"M12x1,75 X 25mm",imgTubo/ccmb-ccb.png,CCMBTUBO-80,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"10,3mm",82mm,"2,7mm","85,5mm","5,1mm","11,8mm",82mm,"2,7mm","85,5mm","2,8mm",BSP 3/8,11mm,18mm,"13,5mm",,,,,
CCB100-F,41mm,,,,,,,"M20x2,5 X ",21mm F,"M12x1,75 X 15mm F",,,,,,,img/ccb100.png,"1,5mm",7mm,8mm,29mm,,,,Ø30,,HASTE-30,-10 ATRÁS ,"M20x2,5 X 21mm (FÊMEA)","M20x1,5 X 6mm","53,5mm",,"M12x1,75 X 25mm",imgTubo/ccmb-ccb.png,CCMBTUBO-100,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"13,7mm",102mm,"2,7mm",106mm,"8,5mm","14,45mm",102mm,"2,7mm",106mm,"4,8mm",BSP 3/8,11mm,18mm,"13,5mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCB12-M,"31,5mm",,,,,,,"M5x0,8 X ","10,5mm","M4x0,7",,,,, ,,img/ccb-macho.png,"0,5mm",3mm,"3,5mm","5,7mm",,,,Ø6,,HASTE-06,,"M5x0,8 X 10,5mm","M4x0,7","20,5mm",,"M4x0,7 X 10mm",imgTubo/ccmb-ccb.png,CCMBTUBO-12,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,4mm,14mm,"1,2mm",15mm,"1,3mm",7mm,14mm,"1,2mm",15mm,"1,3mm","M5 X 0,8mm","3,5mm",6mm,"3,5mm",,,,,
CCB16-M,36mm,,,,,,,M6x1 X ,12mm,"M5x0,8 X 6mm",,,,,,,img/ccmb-ccb16.png,1mm,3mm,"3,5mm","7,7mm",,,,Ø8,,HASTE-08,"-1,5mm ATRÁS","M6x1,00 X 12mm","M5x0,8 X 5mm","22,5mm",,"M4x0,7 X 10mm",imgTubo/ccmb-ccb.png,CCMBTUBO-16,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"6,8mm",18mm,"1,2mm",19mm,"1,3mm","6,8mm",18mm,"1,2mm",19mm,"1,3mm","M5 X 0,8mm","3,5mm",6mm,"3,5mm","Ø5,5",11mm,,,
CCB20-M,35mm,,,,,,,"M8x1,25 X ",14mm,"M6X1 X 7,5mm",,,,,,,img/ccb-macho.png,1mm,4mm,"4,5mm","9,7mm",,,,Ø10,,HASTE-10,-2mm FRENTE,"M8x1,25 X 14mm","M6X1 X 5,5mm","22,5mm",,M6x1 X 15mm,imgTubo/ccmb-ccb.png,CCMBTUBO-20,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"4,5mm",22mm,"1,2mm","23,5mm","1,3mm",7mm,22mm,"1,2mm","23,5mm","1,3mm","M5 X 0,8mm",5mm,9mm,7mm,,,,,
CCB25-M,"40,5mm",,,,,,,"M10x1,25 X ","17,5mm","M8x1,25 X 7mm",,,,,,,img/ccb-macho.png,1mm,4mm,"4,5mm","11,5mm",,,,Ø12,,HASTE-12,"-1,5mm FRENTE","M10x1,25 X 17,5mm","M8x1,25 X 5mm",24mm,,M6x1 X 15mm,imgTubo/ccmb-ccb.png,CCMBTUBO-25,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"4,5mm",26mm,"1,2mm",29mm,"1,3mm",7mm,26mm,"1,2mm",29mm,"1,3mm","M5 X 0,8mm","3,5mm",9mm,7mm,,,,,
CCB40-M,"52,5mm",,,,,,,"M14x1,5 X ","23,5mm","M12x1,25 X 9mm",,,,,,,img/ccb-macho.png,1mm,"4,5mm","5,5mm","15,5mm",,,,Ø16,,HASTE-16,-1mm FRENTE  & -6mm  ATRÁS,"M14x1,5 X 23,5mm","M12x1,25 X 7mm",27mm,,M6x1 X 15mm,imgTubo/ccmb-ccb.png,CCMBTUBO-40,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,7mm,42mm,"1,7mm","44,5mm","2,8mm","7,5mm",42mm,"1,7mm","44,5mm","1,3mm",BSP 1/8,9mm,9mm,7mm,,,,,
CCB50-M,59mm,,,,,,,"M18x1,5 X ","28,5mm","M12x1,25 X 10mm",,,,,,,img/ccb-macho.png,"1,5mm","4,5mm","5,5mm",19mm,,,,Ø20,,HASTE-20,"5,5mm FRENTE","M18x1,5 X 28,5mm","M12x1,25 X 8mm",32mm,,"M8x1,25 X 20mm",imgTubo/ccmb-ccb.png,CCMBTUBO-50,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"7,6mm",52mm,"2,2mm",56mm,"3,3mm","9,5mm",52mm,"2,2mm",56mm,"2,8mm",BSP 1/4,11mm,11mm,8mm,,,,,
CCB63-M,"69,5mm",,,,,,,"M18x1,5 X ","28,5mm","M16X1,5 X 10mm",,,,,,,img/ccb-macho.png,"1,5mm","4,5mm","5,5mm",19mm,,,,Ø20,,HASTE-20,-7mm ATRÁS,"M18x1,5 X 28,5mm","M16X1,5 X 8mm","36,5mm",,"M10x1,5 X 20mm",imgTubo/ccmb-ccb.png,CCMBTUBO-63,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"8,8mm",65mm,"2,7mm",68mm,"4,1mm","10,5mm",65mm,"2,7mm",68mm,"2,8mm",BSP 1/4,11mm,14mm,"10,5mm",,,,,
CCB80-M,"77,5mm",,,,,,,"M22x1,5 X ","35,5mm","M20x1,5 X 10mm",,,,,,,img/ccb-macho.png,"1,5mm",7mm,8mm,24mm,,,,Ø25,,HASTE-25,-8mm ATRÁS ,"M22x1,5 X 35,5mm","M20x1,5 X 8mm","42,5mm",,"M12x1,75 X 25mm",imgTubo/ccmb-ccb.png,CCMBTUBO-80,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"10,3mm",82mm,"2,7mm","85,5mm","5,1mm","11,8mm",82mm,"2,7mm","85,5mm","2,8mm",BSP 3/8,11mm,18mm,"13,5mm",,,,,
CCB100-M,"76,5mm",,,,,,,"M26x1,5 X ","35,5mm","M12x1,75 X 15mm F",,,,,,,img/csm20-25.png,"1,5mm",7mm,8mm,29mm,,,,Ø30,,HASTE-30,-10 ATRÁS ,"M26x1,5 X 35,5mm","M20x1,5 X 6mm","53,5mm",,"M12x1,75 X 25mm",imgTubo/ccmb-ccb.png,CCMBTUBO-100,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"13,7mm",102mm,"2,7mm",106mm,"8,5mm","14,45mm",102mm,"2,7mm",106mm,"4,8mm",BSP 3/8,11mm,18mm,"13,5mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCB16L-M,36mm,,,,,,,M6x1 X ,12mm,"M5x0,8 X 6mm",,,,,,,img/ccmb-ccb16.png,1mm,3mm,"3,5mm","7,7mm",,,,Ø8,,HASTE-08,"-1,5mm ATRÁS","M6x1,00 X 12mm","M5x0,8 X 5mm","22,5mm",,"M4x0,7 X 10mm",imgTubo/CCMBL.png,CCMBTUBO-16,,,,,,,,,,,,imgCcmb/rebaixoDianteiraL.png,imgCcmb/rebaixoTraseiraL.png,imgCcmb/furacaoL.png,imgCcmb/alimentacaoL.png,"6,8mm",18mm,"1,2mm",19mm,"1,3mm","6,8mm",18mm,"1,2mm",19mm,"1,3mm","M5 X 0,8mm","3,5mm",6mm,"3,5mm","Ø5,5",11mm,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCMB12-F,"18,5mm",,,,,,,"M3x0,5 X ",6mm F,"M4x0,7 X 11,5mm",,,,,,,img/ccmb-femea.png,"0,5mm",3mm,"3,5mm","5,7mm",,,,Ø6,,HASTE-06,,,,28mm,,"M4x0,7 X 10mm",imgTubo/ccmb-ccb.png,CCMBTUBO-12,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,4mm,14mm,"1,2mm",15mm,"1,3mm",7mm,14mm,"1,2mm",15mm,"1,3mm","M5 X 0,8mm","3,5mm",6mm,"3,5mm",,,,,
CCMB16-F,22mm,,,,,,,M6x1 X ,12mm F,"M5x0,8 X 10mm",,,,,,,img/ccmb-ccb16-f.png,"0,5m",3mm,"3,5mm","7,7mm",,,,Ø8,,HASTE-08,,,,"30,5mm",,"M4x0,7 X 10mm",imgTubo/ccmb-ccb.png,CCMBTUBO-16,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"6,8mm",18mm,"1,2mm",19mm,"1,3mm","6,8mm",18mm,"1,2mm",19mm,"1,3mm","M5 X 0,8mm","3,5mm",6mm,"3,5mm","Ø5,5",11mm,,,
CCMB20-F,23mm,,,,,,,"M5x0,8 X ",10mm F,M6x1 X 12mm,,,,,,,img/ccmb-femea.png,1mm,4mm,"4,5mm","9,7mm",,,,Ø10,,HASTE-10,,,,"31,5mm",,M6x1 X 15mm,imgTubo/ccmb-ccb.png,CCMBTUBO-20,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"4,5mm",22mm,"1,2mm","23,5mm","1,3mm",7mm,22mm,"1,2mm","23,5mm","1,3mm","M5 X 0,8mm",5mm,9mm,7mm,,,,,
CCMB25-F,25mm,"35,5mm","19,5mm",M6 X ,12mm,,,M6x1 X ,12mm,"M8x1,25 X 11,5mm","M8x1,25 X 16mm","M8x1,25 X 12mm",,,,,img/ccmb-femea.png,1mm,4mm,"4,5mm","11,5mm",,,,Ø12,img/cdvufemeapassante.png,HASTE-12,,,,"32,5mm",39mm,M6x1 X 15mm,imgTubo/ccmb-ccb.png,CCMBTUBO-25,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"4,5mm",26mm,"1,2mm",29mm,"1,3mm",7mm,26mm,"1,2mm",29mm,"1,3mm","M5 X 0,8mm","3,5mm",9mm,7mm,,,,,
CCMB40-F,"37,5mm",,,,,,,"M8x1,25 X ",16mm F,"M12x1,25 X 14mm",,,,,,,img/ccmb-femea.png,1mm,"4,5mm","5,5mm","15,5mm",,,,Ø16,,HASTE-16,,,,"39,5mm",,M6x1 X 15mm,imgTubo/ccmb-ccb.png,CCMBTUBO-40,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"8,9mm",42mm,"1,7mm","44,5mm","2,2mm","8,9mm",42mm,"1,7mm","44,5mm","2,2mm",BSP 1/8,9mm,9mm,7mm,,,,,
CCMB50-F,"33,5mm",,,,,,,"M10x1,5 X ",20mm F,"M12x1,25 X 13,5mm",,,,,,,img/ccmb-femea.png,"1,5mm","4,5mm","5,5mm",19mm,,,,Ø20,,HASTE-20,,,,40mm,,"M8x1,25 X 20mm",imgTubo/ccmb-ccb.png,CCMBTUBO-50,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"7,6mm",52mm,"2,2mm",56mm,"3,3mm","9,5mm",52mm,"2,2mm",56mm,"2,8mm",BSP 1/4,11mm,11mm,8mm,,,,,
CCMB63-F,43mm,,,,,,,"M10x1,5 X ","18,5mm F","M16x1,5 X 16mm",,,,,,,img/ccmb-femea.png,"1,5mm","4,5mm","5,5mm",19mm,,,,Ø20,,HASTE-20,,,,"45,5mm",,"M10x1,5 X 20mm",imgTubo/ccmb-ccb.png,CCMBTUBO-63,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"8,8mm",65mm,"2,7mm",68mm,"4,1mm","10,5mm",65mm,"2,7mm",68mm,"2,8mm",BSP 1/4,11mm,14mm,"10,5mm",,,,,
CCMB80-F,45mm,,,,,,,M16x2 X ,32mm F,"M20x1,5 X 16mm",,,,,,,img/ccmb-femea.png,"1,5mm",7mm,8mm,24mm,,,,Ø25,,HASTE-25,,,,"52,5mm",,"M12x1,75 X 25mm",imgTubo/ccmb-ccb.png,CCMBTUBO-80,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"10,3mm",82mm,"2,7mm","85,5mm","5,1mm","11,8mm",82mm,"2,7mm","85,5mm","2,8mm",BSP 3/8,11mm,18mm,"13,5mm",,,,,
CCMB100-F,55mm,,,,,,,"M20x2,5 X ",40mm F,"M20x1,5 X 19mm",,,,,,,img/ccmb-femea.png,"1,5mm",7mm,8mm,29mm,,,,Ø30,,HASTE-30,,,,"63,5mm",,"M12x1,75 X 25mm",imgTubo/ccmb-ccb.png,CCMBTUBO-100,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"13,7mm",102mm,"2,7mm",106mm,"8,5mm","14,45mm",102mm,"2,7mm",106mm,"4,8mm",BSP 3/8,11mm,18mm,"13,5mm",,,,,
